zone,index,page,category,confidence,topic
Zone 4A,55,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,56,93,Against proposed Zoning Changes,high,Parking
Zone 4A,56,93,Against proposed Zoning Changes,high,Density
Zone 4A,57,93,Against proposed Zoning Changes,high,General opposition
Zone 4A,58,93,Against proposed Zoning Changes,high,General opposition
Zone 4A,59,93,Against proposed Zoning Changes,medium,Parking
Zone 4A,60,93,Against proposed Zoning Changes,medium,General opposition
Zone 4A,61,93,Against proposed Zoning Changes,high,Parking
Zone 4A,61,93,Against proposed Zoning Changes,high,Density
Zone 4A,61,93,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,62,93,Against proposed Zoning Changes,high,Parking
Zone 4A,62,93,Against proposed Zoning Changes,high,Building height
Zone 4A,63,93,Against proposed Zoning Changes,high,General opposition
Zone 4A,64,93,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,65,93,Against proposed Zoning Changes,high,General opposition
Zone 4A,66,93,In Favor of proposed Zoning Changes,high,General support
Zone 4A,67,93,Against proposed Zoning Changes,medium,General opposition
Zone 4A,68,93,Against proposed Zoning Changes,high,Density
Zone 4A,69,93,In Favor of proposed Zoning Changes,high,General support
Zone 4A,70,94,Against proposed Zoning Changes,high,Parking
Zone 4A,70,94,Against proposed Zoning Changes,high,Building height
Zone 4A,70,94,Against proposed Zoning Changes,high,Affordable housing
Zone 4A,71,94,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,71,94,In Favor of proposed Zoning Changes,high,Density
Zone 4A,72,94,Against proposed Zoning Changes,high,Parking
Zone 4A,72,94,Against proposed Zoning Changes,high,Building height
Zone 4A,73,94,Against proposed Zoning Changes,medium,Parking
Zone 4A,74,94,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,75,94,Against proposed Zoning Changes,medium,Density
Zone 4A,75,94,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,76,94,Against proposed Zoning Changes,high,Parking
Zone 4A,76,94,Against proposed Zoning Changes,high,Building height
Zone 4A,77,94,Against proposed Zoning Changes,high,Parking
Zone 4A,78,94,Against proposed Zoning Changes,high,Parking
Zone 4A,78,94,Against proposed Zoning Changes,high,Density
Zone 4A,78,94,Against proposed Zoning Changes,high,Neighborhood character
Zone 4A,78,94,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,79,94,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,80,94,Against proposed Zoning Changes,high,General opposition
Zone 4A,81,94,Against proposed Zoning Changes,high,General opposition
Zone 4A,82,94,Against proposed Zoning Changes,medium,Parking
Zone 4A,83,94,Against proposed Zoning Changes,high,General opposition
Zone 4A,84,94,Neutral,low,Unclear or neutral
Zone 4A,85,94,Against proposed Zoning Changes,high,General support
Zone 4A,86,94,Against proposed Zoning Changes,high,General opposition
Zone 4A,87,94,Against proposed Zoning Changes,high,Traffic and safety
Zone 4A,88,94,Against proposed Zoning Changes,high,General opposition
Zone 4A,89,94,Against proposed Zoning Changes,medium,Building height
Zone 4A,89,94,Against proposed Zoning Changes,medium,Developer incentives
Zone 4A,90,94,Against proposed Zoning Changes,high,Parking
Zone 4A,90,94,Against proposed Zoning Changes,high,Building height
Zone 4A,90,94,Against proposed Zoning Changes,high,Density
Zone 4A,90,94,Against proposed Zoning Changes,high,Affordable housing
Zone 4A,91,94,In Favor of proposed Zoning Changes,high,General support
Zone 4A,92,94,Against proposed Zoning Changes,high,Density
Zone 4A,92,94,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,93,94,Against proposed Zoning Changes,high,Parking
Zone 4A,93,94,Against proposed Zoning Changes,high,Density
Zone 4A,93,94,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,94,94,Against proposed Zoning Changes,high,Building height
Zone 4A,95,94,Against proposed Zoning Changes,high,General support
Zone 4A,96,94,Against proposed Zoning Changes,medium,General opposition
Zone 4A,97,95,Neutral,low,Unclear or neutral
Zone 4A,98,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,99,95,Against proposed Zoning Changes,high,Parking
Zone 4A,99,95,Against proposed Zoning Changes,high,Building height
Zone 4A,100,95,Against proposed Zoning Changes,high,Density
Zone 4A,100,95,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,101,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,102,95,In Favor of proposed Zoning Changes,medium,Building height
Zone 4A,103,95,Against proposed Zoning Changes,high,Parking
Zone 4A,103,95,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,104,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,105,95,Against proposed Zoning Changes,high,Density
Zone 4A,106,95,Against proposed Zoning Changes,medium,Parking
Zone 4A,106,95,Against proposed Zoning Changes,medium,Transit and walkability
Zone 4A,107,95,Against proposed Zoning Changes,high,Building height
Zone 4A,108,95,Against proposed Zoning Changes,high,Density
Zone 4A,108,95,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,109,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,110,95,Against proposed Zoning Changes,high,Traffic and safety
Zone 4A,110,95,Against proposed Zoning Changes,high,Building height
Zone 4A,111,95,Against proposed Zoning Changes,high,Parking
Zone 4A,111,95,Against proposed Zoning Changes,high,Building height
Zone 4A,112,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,113,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,114,95,Against proposed Zoning Changes,high,Density
Zone 4A,115,95,Against proposed Zoning Changes,medium,Density
Zone 4A,116,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,117,95,In Favor of proposed Zoning Changes,high,General support
Zone 4A,118,95,Against proposed Zoning Changes,high,Density
Zone 4A,118,95,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,119,95,Against proposed Zoning Changes,high,Building height
Zone 4A,119,95,Against proposed Zoning Changes,high,Density
Zone 4A,119,95,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,120,95,In Favor of proposed Zoning Changes,medium,Transit and walkability
Zone 4A,121,95,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,122,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,123,95,Against proposed Zoning Changes,high,Parking
Zone 4A,124,95,In Favor of proposed Zoning Changes,high,General support
Zone 4A,125,95,In Favor of proposed Zoning Changes,high,General support
Zone 4A,126,95,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,127,95,Neutral,medium,Parking
Zone 4A,128,95,Against proposed Zoning Changes,high,General opposition
Zone 4A,129,96,In Favor of proposed Zoning Changes,high,General support
Zone 4A,130,96,Against proposed Zoning Changes,medium,Parking
Zone 4A,131,96,In Favor of proposed Zoning Changes,high,Developer incentives
Zone 4A,132,96,In Favor of proposed Zoning Changes,high,General support
Zone 4A,133,96,Against proposed Zoning Changes,high,General opposition
Zone 4A,134,96,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,135,96,Against proposed Zoning Changes,high,General opposition
Zone 4A,136,96,Neutral,high,Unclear or neutral
Zone 4A,137,96,Against proposed Zoning Changes,high,Building height
Zone 4A,137,96,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,138,96,Against proposed Zoning Changes,high,Parking
Zone 4A,138,96,Against proposed Zoning Changes,high,Building height
Zone 4A,138,96,Against proposed Zoning Changes,high,Density
Zone 4A,139,96,Against proposed Zoning Changes,high,General opposition
Zone 4A,140,96,Against proposed Zoning Changes,high,Density
Zone 4A,140,96,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,141,96,Neutral,high,Unclear or neutral
Zone 4A,142,96,Against proposed Zoning Changes,high,Density
Zone 4A,143,96,Against proposed Zoning Changes,high,Parking
Zone 4A,144,96,Against proposed Zoning Changes,high,Parking
Zone 4A,145,96,Against proposed Zoning Changes,high,Parking
Zone 4A,145,96,Against proposed Zoning Changes,high,Building height
Zone 4A,146,96,Against proposed Zoning Changes,high,General support
Zone 4A,147,96,Against proposed Zoning Changes,medium,Density
Zone 4A,147,96,Against proposed Zoning Changes,medium,Schools and infrastructure
Zone 4A,148,96,Against proposed Zoning Changes,high,Density
Zone 4A,149,96,Against proposed Zoning Changes,high,General opposition
Zone 4A,150,96,Against proposed Zoning Changes,medium,Parking
Zone 4A,151,97,Against proposed Zoning Changes,high,Parking
Zone 4A,151,97,Against proposed Zoning Changes,high,Building height
Zone 4A,151,97,Against proposed Zoning Changes,high,Density
Zone 4A,152,97,Neutral,medium,Conditional or mixed response
Zone 4A,153,97,Against proposed Zoning Changes,high,Parking
Zone 4A,154,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,155,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,156,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,157,97,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,158,97,Against proposed Zoning Changes,high,Density
Zone 4A,158,97,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,159,97,Against proposed Zoning Changes,high,Parking
Zone 4A,160,97,Against proposed Zoning Changes,high,Traffic and safety
Zone 4A,161,97,In Favor of proposed Zoning Changes,high,Building height
Zone 4A,162,97,Against proposed Zoning Changes,high,Parking
Zone 4A,163,97,Against proposed Zoning Changes,high,Parking
Zone 4A,163,97,Against proposed Zoning Changes,high,Building height
Zone 4A,164,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,165,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,166,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,167,97,Against proposed Zoning Changes,high,General opposition
Zone 4A,168,97,In Favor of proposed Zoning Changes,high,General support
Zone 4A,169,97,Against proposed Zoning Changes,medium,Parking
Zone 4A,169,97,Against proposed Zoning Changes,medium,Building height
Zone 4A,169,97,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,170,97,Against proposed Zoning Changes,high,Parking
Zone 4A,171,97,Against proposed Zoning Changes,high,Parking
Zone 4A,171,97,Against proposed Zoning Changes,high,Building height
Zone 4A,172,97,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,173,97,In Favor of proposed Zoning Changes,high,General support
Zone 4A,174,97,Against proposed Zoning Changes,high,Neighborhood character
Zone 4A,175,97,Against proposed Zoning Changes,high,Parking
Zone 4A,176,97,Against proposed Zoning Changes,high,Parking
Zone 4A,176,97,Against proposed Zoning Changes,high,Building height
Zone 4A,177,97,In Favor of proposed Zoning Changes,medium,Parking
Zone 4A,178,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,179,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,180,98,Against proposed Zoning Changes,high,Parking
Zone 4A,180,98,Against proposed Zoning Changes,high,Density
Zone 4A,181,98,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,182,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,183,98,Against proposed Zoning Changes,high,Parking
Zone 4A,183,98,Against proposed Zoning Changes,high,Building height
Zone 4A,184,98,Against proposed Zoning Changes,medium,Parking
Zone 4A,184,98,Against proposed Zoning Changes,medium,Traffic and safety
Zone 4A,184,98,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,185,98,In Favor of proposed Zoning Changes,high,Transit and walkability
Zone 4A,186,98,Against proposed Zoning Changes,medium,Parking
Zone 4A,187,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,188,98,Against proposed Zoning Changes,medium,General opposition
Zone 4A,189,98,Against proposed Zoning Changes,high,Density
Zone 4A,190,98,Against proposed Zoning Changes,high,General opposition
Zone 4A,191,98,Neutral,high,Unclear or neutral
Zone 4A,192,98,Against proposed Zoning Changes,high,Parking
Zone 4A,193,98,Neutral,low,Unclear or neutral
Zone 4A,194,98,Against proposed Zoning Changes,high,General opposition
Zone 4A,195,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,196,98,Against proposed Zoning Changes,medium,Parking
Zone 4A,196,98,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,197,98,In Favor of proposed Zoning Changes,high,General support
Zone 4A,198,98,Against proposed Zoning Changes,high,Parking
Zone 4A,198,98,Against proposed Zoning Changes,high,Building height
Zone 4A,198,98,Against proposed Zoning Changes,high,Density
Zone 4A,198,98,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,199,99,Against proposed Zoning Changes,high,Parking
Zone 4A,199,99,Against proposed Zoning Changes,high,Building height
Zone 4A,200,99,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,201,99,Against proposed Zoning Changes,high,Parking
Zone 4A,202,99,Against proposed Zoning Changes,high,Building height
Zone 4A,203,99,Against proposed Zoning Changes,high,General opposition
Zone 4A,204,99,In Favor of proposed Zoning Changes,high,Density
Zone 4A,204,99,In Favor of proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,205,99,Against proposed Zoning Changes,high,General opposition
Zone 4A,206,99,Against proposed Zoning Changes,high,Parking
Zone 4A,207,99,Against proposed Zoning Changes,high,Parking
Zone 4A,207,99,Against proposed Zoning Changes,high,Density
Zone 4A,207,99,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,208,99,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,208,99,In Favor of proposed Zoning Changes,high,Building height
Zone 4A,208,99,In Favor of proposed Zoning Changes,high,Density
Zone 4A,209,99,Neutral,low,Unclear or neutral
Zone 4A,210,99,Against proposed Zoning Changes,high,Density
Zone 4A,211,100,Against proposed Zoning Changes,high,General opposition
Zone 4A,212,100,Against proposed Zoning Changes,high,Density
Zone 4A,213,100,Against proposed Zoning Changes,high,Density
Zone 4A,213,100,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,214,100,Against proposed Zoning Changes,high,General opposition
Zone 4A,215,100,Against proposed Zoning Changes,high,Parking
Zone 4A,216,100,Against proposed Zoning Changes,high,General opposition
Zone 4A,217,100,Against proposed Zoning Changes,high,Parking
Zone 4A,217,100,Against proposed Zoning Changes,high,Building height
Zone 4A,218,101,Against proposed Zoning Changes,medium,Parking
Zone 4A,219,101,Against proposed Zoning Changes,medium,Parking
Zone 4A,219,101,Against proposed Zoning Changes,medium,Density
Zone 4A,219,101,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,220,101,Against proposed Zoning Changes,high,General opposition
Zone 4A,221,101,Against proposed Zoning Changes,medium,Building height
Zone 4A,221,101,Against proposed Zoning Changes,medium,Process and trust
Zone 4A,222,101,Against proposed Zoning Changes,high,Parking
Zone 4A,222,101,Against proposed Zoning Changes,high,Building height
Zone 4A,223,101,Against proposed Zoning Changes,medium,General opposition
Zone 4A,224,101,Against proposed Zoning Changes,high,General opposition
Zone 4A,225,101,Against proposed Zoning Changes,high,General opposition
Zone 4A,226,101,Against proposed Zoning Changes,high,General opposition
Zone 4A,227,101,Against proposed Zoning Changes,high,Building height
Zone 4A,227,101,Against proposed Zoning Changes,high,Density
Zone 4A,227,101,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,228,101,Against proposed Zoning Changes,high,Parking
Zone 4A,228,101,Against proposed Zoning Changes,high,Building height
Zone 4A,229,102,Against proposed Zoning Changes,medium,Parking
Zone 4A,230,102,In Favor of proposed Zoning Changes,high,General support
Zone 4A,231,102,Against proposed Zoning Changes,high,Parking
Zone 4A,231,102,Against proposed Zoning Changes,high,Building height
Zone 4A,232,102,In Favor of proposed Zoning Changes,high,General support
Zone 4A,233,102,In Favor of proposed Zoning Changes,high,General support
Zone 4A,234,102,Against proposed Zoning Changes,high,General opposition
Zone 4A,235,102,Against proposed Zoning Changes,medium,General opposition
Zone 4A,236,102,Against proposed Zoning Changes,medium,Parking
Zone 4A,236,102,Against proposed Zoning Changes,medium,Transit and walkability
Zone 4A,237,102,Against proposed Zoning Changes,high,Neighborhood character
Zone 4A,238,102,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,239,102,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,240,102,Against proposed Zoning Changes,high,Parking
Zone 4A,240,102,Against proposed Zoning Changes,high,Building height
Zone 4A,241,102,Against proposed Zoning Changes,high,General opposition
Zone 4A,242,102,Against proposed Zoning Changes,high,General opposition
Zone 4A,243,102,Against proposed Zoning Changes,high,Density
Zone 4A,244,102,Against proposed Zoning Changes,medium,General opposition
Zone 4A,245,102,Against proposed Zoning Changes,high,Parking
Zone 4A,245,102,Against proposed Zoning Changes,high,Building height
Zone 4A,246,102,In Favor of proposed Zoning Changes,high,General support
Zone 4A,247,102,Against proposed Zoning Changes,high,General opposition
Zone 4A,248,102,Against proposed Zoning Changes,high,General opposition
Zone 4A,249,102,Against proposed Zoning Changes,high,Density
Zone 4A,249,102,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,250,103,Against proposed Zoning Changes,high,Parking
Zone 4A,250,103,Against proposed Zoning Changes,high,Density
Zone 4A,250,103,Against proposed Zoning Changes,high,Green space and stormwater
Zone 4A,251,103,Against proposed Zoning Changes,high,Parking
Zone 4A,252,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,253,103,Against proposed Zoning Changes,high,Building height
Zone 4A,254,103,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,255,103,In Favor of proposed Zoning Changes,high,General support
Zone 4A,256,103,In Favor of proposed Zoning Changes,high,General support
Zone 4A,257,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,258,103,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,259,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,260,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,261,103,Against proposed Zoning Changes,high,Building height
Zone 4A,261,103,Against proposed Zoning Changes,high,Affordable housing
Zone 4A,262,103,Against proposed Zoning Changes,high,Developer incentives
Zone 4A,263,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,264,103,Against proposed Zoning Changes,medium,Transit and walkability
Zone 4A,265,103,Against proposed Zoning Changes,high,Parking
Zone 4A,266,103,Against proposed Zoning Changes,medium,Parking
Zone 4A,267,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,268,103,Neutral,medium,Building height
Zone 4A,269,103,Against proposed Zoning Changes,high,General opposition
Zone 4A,270,103,Neutral,high,Unclear or neutral
Zone 4A,271,103,Neutral,medium,Parking
Zone 4A,272,103,Against proposed Zoning Changes,high,Parking
Zone 4A,272,103,Against proposed Zoning Changes,high,Density
Zone 4A,273,103,Against proposed Zoning Changes,high,Parking
Zone 4A,274,103,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,275,103,In Favor of proposed Zoning Changes,high,General support
Zone 4A,276,103,Against proposed Zoning Changes,medium,General opposition
Zone 4A,277,104,Against proposed Zoning Changes,high,Building height
Zone 4A,277,104,Against proposed Zoning Changes,high,Density
Zone 4A,277,104,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,278,104,Against proposed Zoning Changes,high,Building height
Zone 4A,278,104,Against proposed Zoning Changes,high,Density
Zone 4A,278,104,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,279,104,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,280,104,Against proposed Zoning Changes,high,Developer incentives
Zone 4A,281,104,Against proposed Zoning Changes,high,General support
Zone 4A,282,104,In Favor of proposed Zoning Changes,high,General support
Zone 4A,283,104,Against proposed Zoning Changes,medium,Affordable housing
Zone 4A,284,104,Against proposed Zoning Changes,medium,Parking
Zone 4A,284,104,Against proposed Zoning Changes,medium,Density
Zone 4A,284,104,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 4A,285,104,Against proposed Zoning Changes,high,Parking
Zone 4A,285,104,Against proposed Zoning Changes,high,Transit and walkability
Zone 4A,286,104,Against proposed Zoning Changes,high,General opposition
Zone 4A,287,104,Against proposed Zoning Changes,medium,General opposition
Zone 4A,288,104,Against proposed Zoning Changes,medium,Parking
Zone 4A,288,104,Against proposed Zoning Changes,medium,Density
Zone 4A,289,104,Neutral,low,Unclear or neutral
Zone 4A,290,104,Against proposed Zoning Changes,high,Parking
Zone 4A,290,104,Against proposed Zoning Changes,high,Density
Zone 4A,290,104,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,291,104,Against proposed Zoning Changes,high,Parking
Zone 4A,291,104,Against proposed Zoning Changes,high,Density
Zone 4A,292,104,In Favor of proposed Zoning Changes,high,General support
Zone 4A,293,104,Against proposed Zoning Changes,medium,Parking
Zone 4A,294,104,Neutral,high,Unclear or neutral
Zone 4A,295,104,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,296,104,Against proposed Zoning Changes,high,Density
Zone 4A,297,104,Against proposed Zoning Changes,high,Building height
Zone 4A,298,104,Neutral,low,Parking
Zone 4A,299,104,Against proposed Zoning Changes,high,General support
Zone 4A,300,105,In Favor of proposed Zoning Changes,high,General support
Zone 4A,301,105,In Favor of proposed Zoning Changes,medium,Transit and walkability
Zone 4A,302,105,In Favor of proposed Zoning Changes,high,Transit and walkability
Zone 4A,303,105,In Favor of proposed Zoning Changes,high,General support
Zone 5B,1,77,Against proposed Zoning Changes,high,General opposition
Zone 5B,2,77,Against proposed Zoning Changes,medium,Parking
Zone 5B,2,77,Against proposed Zoning Changes,medium,Conditional or mixed response
Zone 5B,3,77,Neutral,medium,Unclear or neutral
Zone 5B,4,77,Against proposed Zoning Changes,high,Parking
Zone 5B,5,77,Against proposed Zoning Changes,high,General opposition
Zone 5B,6,77,Against proposed Zoning Changes,high,General opposition
Zone 5B,7,77,Against proposed Zoning Changes,high,Parking
Zone 5B,7,77,Against proposed Zoning Changes,high,Density
Zone 5B,8,77,In Favor of proposed Zoning Changes,high,Transit and walkability
Zone 5B,9,77,In Favor of proposed Zoning Changes,high,General support
Zone 5B,10,77,In Favor of proposed Zoning Changes,high,General support
Zone 5B,11,77,Against proposed Zoning Changes,high,Building height
Zone 5B,12,77,Against proposed Zoning Changes,high,General opposition
Zone 5B,13,77,Against proposed Zoning Changes,medium,General opposition
Zone 5B,14,77,In Favor of proposed Zoning Changes,high,Affordable housing
Zone 5B,15,77,Against proposed Zoning Changes,high,General opposition
Zone 5B,16,77,In Favor of proposed Zoning Changes,medium,General support
Zone 5B,17,77,Against proposed Zoning Changes,high,Density
Zone 5B,18,78,Against proposed Zoning Changes,high,Parking
Zone 5B,18,78,Against proposed Zoning Changes,high,Density
Zone 5B,18,78,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 5B,19,78,Against proposed Zoning Changes,high,Density
Zone 5B,20,78,Against proposed Zoning Changes,high,General opposition
Zone 5B,21,78,Against proposed Zoning Changes,medium,Parking
Zone 5B,22,78,Against proposed Zoning Changes,high,Density
Zone 5B,22,78,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 5B,23,78,Neutral,high,Unclear or neutral
Zone 5B,24,78,In Favor of proposed Zoning Changes,medium,General support
Zone 5B,25,78,Against proposed Zoning Changes,medium,Traffic and safety
Zone 5B,26,78,Against proposed Zoning Changes,medium,General opposition
Zone 5B,27,78,In Favor of proposed Zoning Changes,high,Transit and walkability
Zone 5B,28,78,Against proposed Zoning Changes,high,General support
Zone 5B,29,78,Neutral,medium,Unclear or neutral
Zone 5B,30,78,Against proposed Zoning Changes,high,Parking
Zone 5B,31,78,Against proposed Zoning Changes,high,General opposition
Zone 5B,32,79,Neutral,medium,Unclear or neutral
Zone 5B,33,79,Against proposed Zoning Changes,medium,General opposition
Zone 5B,34,79,Against proposed Zoning Changes,high,General opposition
Zone 5B,35,79,Against proposed Zoning Changes,high,Parking
Zone 5B,36,79,Against proposed Zoning Changes,high,Parking
Zone 5B,36,79,Against proposed Zoning Changes,high,Building height
Zone 5B,37,79,In Favor of proposed Zoning Changes,low,Conditional or mixed response
